open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1771496400000,2026-02-19 10:20:00 UTC,66920.74000000,66931.97000000,66864.11000000,66864.45000000,46.60861000,1771496699999,2026-02-19 10:24:59 UTC,3117624.97601140,9228,14.73223000,985489.85715670
1771496700000,2026-02-19 10:25:00 UTC,66864.46000000,66906.51000000,66864.45000000,66871.21000000,49.86915000,1771496999999,2026-02-19 10:29:59 UTC,3335545.60181510,9606,23.41240000,1565930.21896550
1771497000000,2026-02-19 10:30:00 UTC,66871.21000000,66915.00000000,66807.01000000,66914.99000000,45.20123000,1771497299999,2026-02-19 10:34:59 UTC,3021556.27411880,14289,28.06648000,1876318.41991440
1771497300000,2026-02-19 10:35:00 UTC,66915.00000000,66958.40000000,66828.86000000,66949.81000000,26.78038000,1771497599999,2026-02-19 10:39:59 UTC,1791027.81820060,12732,15.66944000,1047871.50705850
1771497600000,2026-02-19 10:40:00 UTC,66949.81000000,66958.40000000,66931.90000000,66958.30000000,11.48207000,1771497899999,2026-02-19 10:44:59 UTC,768691.78663620,5384,4.77997000,319992.74565350
1771497900000,2026-02-19 10:45:00 UTC,66958.30000000,66958.30000000,66894.00000000,66906.54000000,12.20235000,1771498199999,2026-02-19 10:49:59 UTC,816594.62480830,7268,7.18319000,480693.04025510
1771498200000,2026-02-19 10:50:00 UTC,66906.54000000,66906.54000000,66771.05000000,66792.95000000,26.83748000,1771498499999,2026-02-19 10:54:59 UTC,1793239.39627230,12677,10.66631000,712561.07229340
1771498500000,2026-02-19 10:55:00 UTC,66792.95000000,66850.65000000,66770.35000000,66843.08000000,22.51535000,1771498799999,2026-02-19 10:59:59 UTC,1504346.08096560,6569,10.46313000,698972.93121240
1771498800000,2026-02-19 11:00:00 UTC,66843.08000000,66876.10000000,66823.50000000,66873.27000000,26.23760000,1771499099999,2026-02-19 11:04:59 UTC,1753959.75479060,9344,11.81721000,790001.82864780
1771499100000,2026-02-19 11:05:00 UTC,66873.26000000,66907.72000000,66838.08000000,66907.72000000,16.79903000,1771499399999,2026-02-19 11:09:59 UTC,1123335.21898410,6310,10.03352000,670922.44066520
1771499400000,2026-02-19 11:10:00 UTC,66907.72000000,66927.91000000,66907.71000000,66919.87000000,18.89650000,1771499699999,2026-02-19 11:14:59 UTC,1264545.19734140,3105,12.97652000,868381.81478490
1771499700000,2026-02-19 11:15:00 UTC,66919.87000000,66936.42000000,66881.94000000,66890.24000000,14.30700000,1771499999999,2026-02-19 11:19:59 UTC,957177.09901180,7782,7.40628000,495479.93998110
1771500000000,2026-02-19 11:20:00 UTC,66890.25000000,66910.42000000,66868.00000000,66910.42000000,13.41734000,1771500299999,2026-02-19 11:24:59 UTC,897489.84640860,5247,6.09491000,407681.63472880
1771500300000,2026-02-19 11:25:00 UTC,66910.41000000,66910.42000000,66840.20000000,66840.92000000,22.78986000,1771500599999,2026-02-19 11:29:59 UTC,1523951.11325920,4454,5.54929000,371040.03508730
1771500600000,2026-02-19 11:30:00 UTC,66840.93000000,66850.18000000,66830.14000000,66850.18000000,11.17524000,1771500899999,2026-02-19 11:34:59 UTC,746982.60431850,4600,6.24051000,417119.40545670
1771500900000,2026-02-19 11:35:00 UTC,66850.17000000,66850.18000000,66652.16000000,66698.25000000,122.70292000,1771501199999,2026-02-19 11:39:59 UTC,8190891.96142540,19502,27.53674000,1836580.88624010
1771501200000,2026-02-19 11:40:00 UTC,66698.24000000,66730.90000000,66668.42000000,66673.30000000,35.20534000,1771501499999,2026-02-19 11:44:59 UTC,2348582.84594400,9751,11.90262000,794026.70709910
1771501500000,2026-02-19 11:45:00 UTC,66673.30000000,66719.99000000,66633.33000000,66692.87000000,42.86857000,1771501799999,2026-02-19 11:49:59 UTC,2858149.27512270,15894,16.98190000,1132167.64764740
1771501800000,2026-02-19 11:50:00 UTC,66692.86000000,66692.86000000,66478.76000000,66511.03000000,132.62527000,1771502099999,2026-02-19 11:54:59 UTC,8826421.16297100,27642,44.22086000,2942306.99668460
1771502100000,2026-02-19 11:55:00 UTC,66511.02000000,66539.56000000,66478.02000000,66496.02000000,30.99994000,1771502399999,2026-02-19 11:59:59 UTC,2061704.83464010,10189,13.31583000,885546.58180120
1771502400000,2026-02-19 12:00:00 UTC,66496.03000000,66523.74000000,66412.83000000,66435.95000000,48.93847000,1771502699999,2026-02-19 12:04:59 UTC,3253262.23573740,20163,24.38156000,1620826.71279560
1771502700000,2026-02-19 12:05:00 UTC,66435.95000000,66547.31000000,66325.34000000,66542.71000000,88.37380000,1771502999999,2026-02-19 12:09:59 UTC,5868272.70184180,23825,44.57991000,2960783.51891750
1771503000000,2026-02-19 12:10:00 UTC,66542.71000000,66576.22000000,66497.56000000,66564.14000000,35.89288000,1771503299999,2026-02-19 12:14:59 UTC,2388187.37082400,14488,18.03389000,1199909.56463770
1771503300000,2026-02-19 12:15:00 UTC,66564.13000000,66609.90000000,66489.09000000,66504.67000000,67.05183000,1771503599999,2026-02-19 12:19:59 UTC,4463336.33346590,18279,42.28888000,2815358.93899330
1771503600000,2026-02-19 12:20:00 UTC,66504.68000000,66651.95000000,66504.67000000,66637.31000000,39.02423000,1771503899999,2026-02-19 12:24:59 UTC,2597980.76506780,10619,30.33337000,2019244.04112970
1771503900000,2026-02-19 12:25:00 UTC,66637.31000000,66680.70000000,66624.36000000,66669.51000000,22.67410000,1771504199999,2026-02-19 12:29:59 UTC,1511168.42352800,11018,15.17899000,1011651.91778930
1771504200000,2026-02-19 12:30:00 UTC,66669.50000000,66669.50000000,66620.00000000,66644.58000000,21.05410000,1771504499999,2026-02-19 12:34:59 UTC,1403145.73815300,9299,10.72642000,714838.56980060
1771504500000,2026-02-19 12:35:00 UTC,66644.59000000,66661.25000000,66460.42000000,66642.17000000,77.21357000,1771504799999,2026-02-19 12:39:59 UTC,5139787.67372300,15224,31.16704000,2074453.83391180
1771504800000,2026-02-19 12:40:00 UTC,66642.18000000,66673.81000000,66602.12000000,66608.00000000,30.68522000,1771505099999,2026-02-19 12:44:59 UTC,2044345.78277090,8504,20.46794000,1363589.28982670
1771505100000,2026-02-19 12:45:00 UTC,66608.00000000,66634.04000000,66504.38000000,66555.98000000,17.80266000,1771505399999,2026-02-19 12:49:59 UTC,1184864.99678440,9979,8.31621000,553449.95166660
1771505400000,2026-02-19 12:50:00 UTC,66555.99000000,66572.03000000,66520.00000000,66533.02000000,14.28716000,1771505699999,2026-02-19 12:54:59 UTC,950749.16816720,7353,9.64292000,641662.75209380
1771505700000,2026-02-19 12:55:00 UTC,66533.03000000,66535.52000000,66502.56000000,66516.67000000,21.41223000,1771505999999,2026-02-19 12:59:59 UTC,1424340.15757490,9592,9.84439000,654837.59803720
1771506000000,2026-02-19 13:00:00 UTC,66516.67000000,66556.59000000,66428.86000000,66440.00000000,45.43593000,1771506299999,2026-02-19 13:04:59 UTC,3021628.20133320,18019,16.57987000,1102503.33108150
1771506300000,2026-02-19 13:05:00 UTC,66440.00000000,66440.00000000,66230.26000000,66339.60000000,96.66198000,1771506599999,2026-02-19 13:09:59 UTC,6410273.24757550,30832,39.58711000,2625247.10535290
1771506600000,2026-02-19 13:10:00 UTC,66339.60000000,66435.60000000,66339.60000000,66387.99000000,36.28751000,1771506899999,2026-02-19 13:14:59 UTC,2408912.10221480,16956,18.88146000,1253361.00826710
1771506900000,2026-02-19 13:15:00 UTC,66387.99000000,66418.21000000,66176.89000000,66230.27000000,147.87053000,1771507199999,2026-02-19 13:19:59 UTC,9802381.82640480,30268,81.16823000,5380856.23272170
1771507200000,2026-02-19 13:20:00 UTC,66230.28000000,66290.00000000,66169.44000000,66177.10000000,79.37384000,1771507499999,2026-02-19 13:24:59 UTC,5257157.41131300,24931,38.65713000,2560474.94382770
1771507500000,2026-02-19 13:25:00 UTC,66177.09000000,66223.79000000,66137.14000000,66179.23000000,82.61329000,1771507799999,2026-02-19 13:29:59 UTC,5467181.50062940,22531,42.84321000,2835165.98740620
1771507800000,2026-02-19 13:30:00 UTC,66179.23000000,66252.84000000,66122.44000000,66252.00000000,146.70133000,1771508099999,2026-02-19 13:34:59 UTC,9711055.48067170,23443,74.39880000,4925147.02379170
1771508100000,2026-02-19 13:35:00 UTC,66252.00000000,66306.63000000,66094.60000000,66107.93000000,141.53169000,1771508399999,2026-02-19 13:39:59 UTC,9369502.11941330,30629,60.05145000,3974219.06463930
1771508400000,2026-02-19 13:40:00 UTC,66107.93000000,66107.93000000,65925.70000000,65965.59000000,239.61230000,1771508699999,2026-02-19 13:44:59 UTC,15812527.75192490,34729,47.10455000,3108954.83251110
1771508700000,2026-02-19 13:45:00 UTC,65965.59000000,65995.54000000,65784.16000000,65811.56000000,144.15454000,1771508999999,2026-02-19 13:49:59 UTC,9499901.53555070,54551,57.73361000,3805005.23959970
1771509000000,2026-02-19 13:50:00 UTC,65811.56000000,65999.80000000,65763.00000000,65974.45000000,178.53800000,1771509299999,2026-02-19 13:54:59 UTC,11763205.24807480,40049,125.69206000,8281665.43773940
1771509300000,2026-02-19 13:55:00 UTC,65974.46000000,65975.82000000,65895.36000000,65913.37000000,38.72433000,1771509599999,2026-02-19 13:59:59 UTC,2552745.54413780,17923,19.08464000,1258016.02445210
1771509600000,2026-02-19 14:00:00 UTC,65913.38000000,65977.00000000,65839.30000000,65862.14000000,66.51471000,1771509899999,2026-02-19 14:04:59 UTC,4384973.32032150,27549,30.83261000,2032489.74318640
1771509900000,2026-02-19 14:05:00 UTC,65862.14000000,65969.80000000,65862.14000000,65963.03000000,43.77438000,1771510199999,2026-02-19 14:09:59 UTC,2885313.66727820,22443,24.84109000,1637383.94378740
1771510200000,2026-02-19 14:10:00 UTC,65963.02000000,66107.78000000,65896.90000000,66039.99000000,85.41413000,1771510499999,2026-02-19 14:14:59 UTC,5639580.91224670,22406,61.51166000,4061547.31852060
1771510500000,2026-02-19 14:15:00 UTC,66039.99000000,66039.99000000,65881.02000000,65922.45000000,50.34114000,1771510799999,2026-02-19 14:19:59 UTC,3321324.92527890,24092,21.24543000,1401816.32358960
1771510800000,2026-02-19 14:20:00 UTC,65922.45000000,66013.32000000,65915.16000000,66000.68000000,41.87489000,1771511099999,2026-02-19 14:24:59 UTC,2762213.08333850,17283,23.70089000,1563280.56613150
1771511100000,2026-02-19 14:25:00 UTC,66000.68000000,66063.57000000,65879.87000000,65981.83000000,76.21137000,1771511399999,2026-02-19 14:29:59 UTC,5027307.67850610,23945,43.77163000,2887400.66131390
1771511400000,2026-02-19 14:30:00 UTC,65981.83000000,66039.11000000,65653.82000000,65737.13000000,180.80445000,1771511699999,2026-02-19 14:34:59 UTC,11905856.67831820,91058,69.10930000,4552236.47852640
1771511700000,2026-02-19 14:35:00 UTC,65737.14000000,66220.52000000,65631.83000000,66105.00000000,192.76123000,1771511999999,2026-02-19 14:39:59 UTC,12698071.73449870,86181,97.38071000,6416087.87327050
1771512000000,2026-02-19 14:40:00 UTC,66105.00000000,66341.43000000,66042.27000000,66260.56000000,170.56535000,1771512299999,2026-02-19 14:44:59 UTC,11290003.96037610,59499,95.15493000,6300223.86052400
1771512300000,2026-02-19 14:45:00 UTC,66260.56000000,66393.30000000,66098.46000000,66260.24000000,136.73409000,1771512599999,2026-02-19 14:49:59 UTC,9060284.54271970,60352,74.67399000,4947657.29809830
1771512600000,2026-02-19 14:50:00 UTC,66260.24000000,66633.32000000,66244.56000000,66457.64000000,301.17195000,1771512899999,2026-02-19 14:54:59 UTC,20009648.95783890,61728,147.87157000,9822700.64093520
1771512900000,2026-02-19 14:55:00 UTC,66457.65000000,66662.30000000,66343.23000000,66421.20000000,160.20500000,1771513199999,2026-02-19 14:59:59 UTC,10656311.79437430,42888,69.11326000,4596964.17676980
1771513200000,2026-02-19 15:00:00 UTC,66421.20000000,66755.39000000,66381.06000000,66606.39000000,129.33345000,1771513499999,2026-02-19 15:04:59 UTC,8610516.84231080,55218,69.88082000,4651814.26673770
1771513500000,2026-02-19 15:05:00 UTC,66606.38000000,66656.21000000,66381.00000000,66381.00000000,92.33498000,1771513799999,2026-02-19 15:09:59 UTC,6140982.82242490,44658,45.23185000,3008452.77527380
1771513800000,2026-02-19 15:10:00 UTC,66381.00000000,66443.65000000,66036.36000000,66076.73000000,113.17879000,1771514099999,2026-02-19 15:14:59 UTC,7492393.99516750,52957,39.69771000,2628306.44404120
1771514100000,2026-02-19 15:15:00 UTC,66076.74000000,66397.40000000,66076.74000000,66194.94000000,149.66471000,1771514399999,2026-02-19 15:19:59 UTC,9913458.21428260,46369,92.21613000,6108389.44217080
1771514400000,2026-02-19 15:20:00 UTC,66194.94000000,66214.03000000,65974.87000000,66205.88000000,107.50512000,1771514699999,2026-02-19 15:24:59 UTC,7103093.48804630,43316,51.99474000,3435762.81236940
1771514700000,2026-02-19 15:25:00 UTC,66205.88000000,66205.88000000,66013.62000000,66048.01000000,57.08041000,1771514999999,2026-02-19 15:29:59 UTC,3772509.91045670,30208,26.97572000,1783022.91512590
1771515000000,2026-02-19 15:30:00 UTC,66048.00000000,66292.16000000,65966.00000000,66289.99000000,115.91028000,1771515299999,2026-02-19 15:34:59 UTC,7666791.64802060,36039,75.10370000,4966455.20563760
1771515300000,2026-02-19 15:35:00 UTC,66290.00000000,66550.00000000,66280.09000000,66415.99000000,89.63255000,1771515599999,2026-02-19 15:39:59 UTC,5952258.91325110,42793,55.40006000,3678101.13509180
1771515600000,2026-02-19 15:40:00 UTC,66416.00000000,66526.59000000,66388.43000000,66474.03000000,42.96758000,1771515899999,2026-02-19 15:44:59 UTC,2855848.41053210,30233,25.02810000,1663475.47467290
1771515900000,2026-02-19 15:45:00 UTC,66474.03000000,66594.41000000,66288.06000000,66315.34000000,82.93193000,1771516199999,2026-02-19 15:49:59 UTC,5509984.23510230,33876,40.30121000,2677947.89479500
1771516200000,2026-02-19 15:50:00 UTC,66315.34000000,66328.10000000,66148.40000000,66295.91000000,61.17256000,1771516499999,2026-02-19 15:54:59 UTC,4053166.40731280,30497,30.33025000,2009794.37610110
1771516500000,2026-02-19 15:55:00 UTC,66295.90000000,66428.62000000,66278.38000000,66398.00000000,41.59317000,1771516799999,2026-02-19 15:59:59 UTC,2759361.80009240,20647,24.23298000,1607570.08671120
1771516800000,2026-02-19 16:00:00 UTC,66398.01000000,66398.01000000,66114.30000000,66114.30000000,69.49783000,1771517099999,2026-02-19 16:04:59 UTC,4603445.86470190,28720,28.01344000,1855143.70090010
1771517100000,2026-02-19 16:05:00 UTC,66114.30000000,66165.24000000,65899.25000000,66143.62000000,159.56846000,1771517399999,2026-02-19 16:09:59 UTC,10538645.98752150,46643,88.37636000,5837672.30738280
1771517400000,2026-02-19 16:10:00 UTC,66143.62000000,66184.09000000,66024.48000000,66153.73000000,103.16532000,1771517699999,2026-02-19 16:14:59 UTC,6819998.71213270,28032,61.57286000,4070136.68086290
1771517700000,2026-02-19 16:15:00 UTC,66153.74000000,66408.73000000,66121.57000000,66323.49000000,126.52401000,1771517999999,2026-02-19 16:19:59 UTC,8384621.77371340,35446,76.33511000,5059432.87056370
1771518000000,2026-02-19 16:20:00 UTC,66323.49000000,66355.80000000,66214.08000000,66242.17000000,53.27606000,1771518299999,2026-02-19 16:24:59 UTC,3531764.18364560,26405,15.96309000,1058007.44801400
1771518300000,2026-02-19 16:25:00 UTC,66242.17000000,66265.21000000,66107.58000000,66188.26000000,38.81065000,1771518599999,2026-02-19 16:29:59 UTC,2568164.62241210,22399,18.06511000,1195373.30875410
1771518600000,2026-02-19 16:30:00 UTC,66188.27000000,66508.20000000,66188.27000000,66499.33000000,91.30222000,1771518899999,2026-02-19 16:34:59 UTC,6058906.73516870,32732,65.03471000,4315069.04362430
